dataset_name,hash_length,space_ratio,btsp_fq_constant_x,btsp_sampling_ratio_x,btsp_mAP
sift10k,24,20,10,0.1,0.6670021721316823
sift10k,20,20,5,0.05,0.6387449312671094
sift10k,16,20,10,0.05,0.6032014072596914
sift10k,12,20,5,0.05,0.547362540488963
sift10k,8,20,5,0.3,0.4824307109465978
sift10k,4,8,1,0.05,0.3665447254378609
sift10k,2,12,7,0.1,0.2942071820628769
mnist10k,24,12,7,0.01,0.7281959590550356
mnist10k,20,20,1,0.8,0.7183388462837541
mnist10k,16,20,1,0.7,0.6999863488559765
mnist10k,12,20,1,0.8,0.6650037370387998
mnist10k,8,20,1,0.6,0.6118879827907202
mnist10k,4,20,1,0.8,0.5332784475042612
mnist10k,2,20,2,0.8,0.4199617376470732
glove10k,24,20,1,0.01,0.2178457201748865
glove10k,20,20,5,0.01,0.1944401319543271
glove10k,16,12,7,0.01,0.1733131658498937
glove10k,12,20,8,0.01,0.1511131957761106
glove10k,8,20,1,0.05,0.1350072448980954
glove10k,4,20,5,0.01,0.108345859274713
glove10k,2,20,1,0.1,0.088781760270572
gist10k,24,4,10,0.05,0.2898685199188714
gist10k,20,8,2,0.2,0.2685392891239861
gist10k,16,20,8,0.3,0.2513407171669142
gist10k,12,12,5,0.05,0.2262958739815867
gist10k,8,12,10,0.1,0.1970947520763294
gist10k,4,4,7,0.1,0.15601657009818
gist10k,2,4,10,0.01,0.1353320940418945
